k_step      t_sim  nID    Ground Truth (x,y)    Prediction   (x,y)  tID  TLost      delay_A    dalay_B
    91        901    3      79.36      63.06      79.77      62.97    0      0          0          0  
    92        911    0      79.36      63.06      79.78      63.54    0      0          0          0  
    92        911    1      79.36      63.06      79.79         63    0      0          0          0  
    92        911    2      79.36      63.06      78.95      63.24    0      0          0          0  
    92        911    3      79.36      63.06      78.62      63.25    0      0          0          0  
    93        921    0      79.98      62.45      79.74      62.58    0      0          0          0  
    93        921    1      79.98      62.45      80.62      61.88    0      0          0          0  
    93        921    2      79.98      62.45      80.01      62.01    0      0          0          0  
    93        921    3      79.98      62.45      79.65      62.48    0      0          0          0  
    94        931    0      79.98      62.45      80.69      61.76    0      0          0          0  
    94        931    1      79.98      62.45      81.44      61.64    0      0          0          0  
    94        931    2      79.98      62.45      80.22      62.32    0      0          0          0  
    94        931    3      79.98      62.45      80.59      62.61    0      0          0          0  
    95        941    0      80.71      61.82      81.06      61.55    0      0          0          0  
    95        941    1      80.71      61.82       80.6      61.54    0      0          0          0  
    95        941    2      80.71      61.82      80.24      61.87    0      0          0          0  
    95        941    3      80.71      61.82      80.46      61.75    0      0          0          0  
    96        951    0      80.71      61.82      80.37      61.96    0      0          0          0  
    96        951    1      80.71      61.82      80.52      61.81    0      0          0          0  
    96        951    2      80.71      61.82      80.96      61.64    0      0          0          0  
    96        951    3      80.71      61.82      80.58      61.53    0      0          0          0  
    97        961    0       81.6      61.37      81.55      62.38    0      0          0          0  
    97        961    1       81.6      61.37       81.4      61.76    0      0          0          0  
    97        961    2       81.6      61.37      80.81      62.46    0      0          0          0  
    97        961    3       81.6      61.37      81.82      60.55    0      0          0          0  
    98        971    0       81.6      61.37      81.05      61.51    0      0          0          0  
    98        971    1       81.6      61.37      82.07      61.01    0      0          0          0  
    98        971    2       81.6      61.37      83.03      62.21    0      0          0          0  
    98        971    3       81.6      61.37      81.17      61.89    0      0          0          0  
    99        981    0      82.35      60.81      82.55      59.66    0      0          0          0  
    99        981    1      82.35      60.81      82.42      60.72    0      0          0          0  
    99        981    2      82.35      60.81      82.49      60.83    0      0          0          0  
    99        981    3      82.35      60.81      82.34      60.93    0      0          0          0  
   100        991    0      82.35      60.81      81.87      60.22    0      0          0          0  
   100        991    1      82.35      60.81      83.25      60.96    0      0          0          0  
   100        991    2      82.35      60.81      82.59       61.3    0      0          0          0  
   100        991    3      82.35      60.81      82.77      61.37    0      0          0          0  
   101       1001    0      83.31      60.62      83.58      61.39    0      0          0          0  
   101       1001    1      83.31      60.62      83.52      60.15    0      0          0          0  
   101       1001    2      83.31      60.62      83.23      59.82    0      0          0          0  
   101       1001    3      83.31      60.62      83.73       61.2    0      0          0          0  
   102       1011    0      83.31      60.62      81.82      60.45    0      0          0          0  
   102       1011    1      83.31      60.62      82.75      60.24    0      0          0          0  
   102       1011    2      83.31      60.62       83.7      61.52    0      0          0          0  
   102       1011    3      83.31      60.62      83.81      62.11    0      0          0          0  
   103       1021    0      84.03      60.23      83.86      59.88    0      0          0          0  
   103       1021    1      84.03      60.23      83.57       60.7    0      0          0          0  
   103       1021    2      84.03      60.23       84.6      59.06    0      0          0          0  
   103       1021    3      84.03      60.23      83.96      60.53    0      0          0          0  
   104       1031    0      84.03      60.23      84.76      60.43    0      0          0          0  
   104       1031    1      84.03      60.23      84.63      60.29    0      0          0          0  
   104       1031    2      84.03      60.23      84.16       61.9    0      0          0          0  
   104       1031    3      84.03      60.23      84.69      59.76    0      0          0          0  
   105       1041    0      84.73      59.77      84.66      59.01    0      0          0          0  
   105       1041    1      84.73      59.77      84.72      60.45    0      0          0          0  
   105       1041    2      84.73      59.77      84.58      59.74    0      0          0          0  
   105       1041    3      84.73      59.77      84.92      59.19    0      0          0          0  
   106       1051    0      84.73      59.77       85.5      59.52    0      0          0          0  
   106       1051    1      84.73      59.77      85.12      59.19    0      0          0          0  
   106       1051    2      84.73      59.77      84.64      59.28    0      0          0          0  
   106       1051    3      84.73      59.77      84.84      59.85    0      0          0          0  
   107       1061    0      85.46      59.37      85.16       59.2    0      0          0          0  
   107       1061    1      85.46      59.37      85.31      59.26    0      0          0          0  
   107       1061    2      85.46      59.37      85.32         60    0      0          0          0  
   107       1061    3      85.46      59.37       85.7      59.48    0      0          0          0  
   108       1071    0      85.46      59.37      85.29      59.68    0      0          0          0  
   108       1071    1      85.46      59.37      85.44      59.89    0      0          0          0  
   108       1071    2      85.46      59.37      85.81      59.79    0      0          0          0  
   108       1071    3      85.46      59.37       85.3      59.35    0      0          0          0  
   109       1081    0      86.36      58.02      86.63      58.82    0      0          0          0  
   109       1081    1      86.36      58.02      86.45      57.93    0      0          0          0  
   109       1081    2      86.36      58.02       85.7      58.85    0      0          0          0  
   109       1081    3      86.36      58.02      85.49      58.47    0      0          0          0  
